Protocol	X-coordinate	Y-coordinate
DNS	60.232687	0.000231
DNS	60.674297	0.000201
DNS	61.115906	0.000174
DNS	61.557516	0.000151
DNS	61.999126	0.000130
DNS	62.440735	0.000111
DNS	62.882345	0.000095
DNS	63.323955	0.000081
DNS	63.765564	0.000069
DNS	64.207174	0.000059
DNS	64.648784	0.000049
DNS	65.090393	0.000042

UDP	0.173772	0.044194
UDP	0.615382	0.044440
UDP	1.056991	0.044540
UDP	1.498601	0.044494
UDP	1.940211	0.044300
UDP	2.381820	0.043962
UDP	2.823430	0.043483
UDP	3.265040	0.042867
UDP	3.706649	0.042121
UDP	4.148259	0.041252
UDP	4.589869	0.040268
UDP	5.031478	0.039178
UDP	5.473088	0.037993
UDP	5.914698	0.036724
UDP	6.356307	0.035381
UDP	6.797917	0.033976
UDP	7.239527	0.032521
UDP	7.681136	0.031028
UDP	8.122746	0.029508
UDP	8.564356	0.027974
UDP	9.005965	0.026435
UDP	9.447575	0.024903
UDP	9.889185	0.023387
UDP	10.330794	0.021896
UDP	10.772404	0.020440
UDP	11.214014	0.019025
UDP	11.655623	0.017658
UDP	12.097233	0.016345
UDP	12.538843	0.015091
UDP	12.980452	0.013900
UDP	13.422062	0.012775
UDP	13.863672	0.011719
UDP	14.305282	0.010733
UDP	14.746891	0.009818
UDP	15.188501	0.008973
UDP	15.630111	0.008199
UDP	16.071720	0.007494
UDP	16.513330	0.006857
UDP	16.954940	0.006286
UDP	17.396549	0.005778
UDP	17.838159	0.005331
UDP	18.279769	0.004941
UDP	18.721378	0.004605
UDP	19.162988	0.004320
UDP	19.604598	0.004084
UDP	20.046207	0.003891
UDP	20.487817	0.003739
UDP	20.929427	0.003624
UDP	21.371036	0.003543
UDP	21.812646	0.003492
UDP	22.254256	0.003469
UDP	22.695865	0.003469
UDP	23.137475	0.003490
UDP	23.579085	0.003530
UDP	24.020694	0.003585
UDP	24.462304	0.003652
UDP	24.903914	0.003730
UDP	25.345523	0.003816
UDP	25.787133	0.003909
UDP	26.228743	0.004005
UDP	26.670352	0.004104
UDP	27.111962	0.004204
UDP	27.553572	0.004304
UDP	27.995181	0.004402
UDP	28.436791	0.004498
UDP	28.878401	0.004590
UDP	29.320010	0.004678
UDP	29.761620	0.004762
UDP	30.203230	0.004840
UDP	30.644839	0.004912
UDP	31.086449	0.004979
UDP	31.528059	0.005040
UDP	31.969668	0.005095
